ID,Nome,Descendentes,Orientandos_Diretos
14029,Max Lemes,0,1
14031,Marcelo de Souza,0,1
12237,Rafael Rigao Souza,1,1
3809,José da Silva Ramos,0,1
14035,Walterson Ferreira,0,1
5754,Jose de Barros-Neto,19,2
13994,Jaime Orrillo,2,2
14032,Francinildo Ferreira,0,1
14036,Paulo Campos,0,1
14030,Wang QiaoLing,0,1
14153,Iole Druck,0,1
21922,Edison Farah,51,3
14033,Romildo Pina,0,1
20302,Dulce de Almeida,0,1
14037,Mauro Rabelo,0,1
6657,Celio Alvarenga,0,1
15661,Paulo Martin,1,1
21287,José Verderesi,2,2
14034,Armando Corro,2,2
24554,Ofélia Alas,1,1
24696,Saulo Barros,0,1
22853,Mauricio Peixoto,85,7
24474,Virginia Fernandez,0,1
24583,Welington de Melo,50,7
23623,"Armando Turtelli, Jr.",0,1
25081,Ivan Kupka,22,3
22619,Ricardo Mañé,30,11
26426,Maria Grou,0,1
29391,Pablo Chacón,0,1
25091,Roberta Atique,2,2
30284,Marcelo Furtado,0,1
29392,Roseli Nozaki,0,1
31990,C. Andrade,0,1
31992,Neide Franco,0,1
35431,Heloisa Borsari,0,1
35745,Efrain Peña,0,1
35863,Mariangela Amendola,0,1
35853,João Meyer,3,3
35875,Manuel Pareja,0,1
35867,Marlene Ferreira,1,1
36688,Roberto Schonmann,2,2
36953,Eduardo Jorge Bastos,0,1
36453,Carlos Frederico Cid,2,2
38487,Florêncio Guimarães Filho,0,1
38587,Lucia Satie Murakami,2,2
38589,Henrique Guzzo Jr,4,3
38590,Luiz Peresi,2,2
38591,Abdon Catalán,0,1
38289,Paulo Ribenboim,95,12
38588,Roberto Costa,17,9
38592,Raul Benavides,0,1
38594,Maria Luiza Lelis,0,1
38595,Roseli Oliveira,0,1
38597,Maria Couto,0,1
38596,Juaci Picanço da Silva,0,1
43074,Nelio Baldin,0,1
43076,Antonio do Patrocinio,0,1
42705,Ubiratan D'Ambrósio,18,5
40880,Waldyr Oliva,24,7
43075,Miriam Mendes,0,1
44675,Nair Fernandes,0,1
45224,Ivan Correa,0,1
44673,Jairo Goncalves,1,1
45225,Osmar Giuliani,0,1
46505,Domingos Valerio Silva,0,1
43795,Francisco César Polcino Milies,17,13
45927,Carmen Cardassi,1,1
46506,Luis Orlando Perez,0,1
47591,Ryuichi Fukuoka,2,2
47592,Carlos Riveros,0,1
43077,Sueli Costa,34,28
47668,Marli Neves,0,1
47669,Francisco Pino,0,1
47667,Clélia Toloi,5,5
47670,Chang Chiann,1,1
47672,Eliana Zandonade,0,1
47673,Bernardo Lagos,0,1
47674,Julio Hokama,0,1
47917,Fernando Abadie,1,1
47918,Cristina Cerri,1,1
49199,Elisabete Freitas,0,1
47671,Thelma Safadi,14,14
50057,Fabio Augusto Chalub,0,1
47805,Pablo Ferrari,37,16
49341,Ovidio Oliveira Filho,0,1
49951,Joachim Kock,3,3
51908,Pedro Pergher,0,1
51419,Paulo Mondek,0,1
51909,Ermínia Fanti,0,1
50634,Rodney Bassanezi,8,7
51910,João Vieira,0,1
51911,Valdeni Franco,0,1
53019,Luiz Fernando da Rocha,0,1
50634,Rodney Bassanezi,8,7
51912,Valter Locci,0,1
51913,Maria da Silva,0,1
53021,Pedro Mendes,0,1
53464,Claus Halkjaer,0,1
53466,Edmeia da Silva,0,1
53463,Norai Rocco,7,7
53020,Artur Lopes,20,13
53595,Maria Elbert,3,3
53596,Sergio De Mendonca,0,1
53465,Ana Vieira,12,10
53597,Francisco Xavier,0,1
53598,Nedir Santo,0,1
53601,Katia Leão,0,1
53600,Walcy Santos,0,1
53599,Levi de Lima,8,5
53602,Hilario Alencar,3,3
53603,Alexandre Da Silveira,0,1
53606,Celso Da Costa,0,1
53605,Jonas Gomes,6,2
53607,Renato Valadares,0,1
53604,Abdênago De Barros,18,7
53609,Ivan Tribuzy,0,1
53610,Renato Tribuzy,1,1
53608,Marcos Dajczer,9,6
53611,Luquesio Jorge,3,1
53613,José Delgado,0,1
53614,Edmilson Pontes,0,1
53615,Rubens De Andrade,0,1
53612,Antonio Asperti,9,8
53744,Paulo Sad,2,2
53747,Antonio Augusto Gaspar Ruas,0,1
53666,W. Zuniga-Galindo,16,16
53746,Artur Avila,11,9
53745,Maria Pacifico,19,15
53750,Miguel Paternain,1,1
53616,Keti Tenenblat,33,31
53749,Gonzálo Contreras Barandarián,4,3
53748,Edson Vargas,6,6
53751,Aldrovando Luis Araújo,0,1
53753,Claus Doering,0,1
53752,Renato Iturriaga,2,1
53754,Rafael Ruggiero,4,4
53755,Maria de Fatima Carvalho,5,3
53757,Jorge Joaquín Delgado Gómez,0,1
53756,Marcos Craizer,2,2
53758,Heber Francisco Enrich,0,1
53760,Jorge Beloqui,0,1
53761,Jaime Vera,0,1
53759,Alvaro Rovella,3,3
53764,Leonardo Mora,0,1
53762,Eleonora Catsigeras,0,1
53766,Rafael Labarca,1,1
53765,Sergio Plaza,4,3
53768,Roger Metzger,3,3
53767,Martin Sambarino,8,3
53769,Neptalí Romero,5,5
53772,Iaci Malta,0,1
53770,Lorenzo Díaz,5,5
53771,Jorge Manuel Rocha,3,3
53775,Maria Izabel Camacho,3,2
53774,Carlos Gustavo de Araujo Moreira,13,11
53777,Eduardo Colli,2,2
53776,Vilton Jeovan Pinheiro,3,3
53778,Jaques Gheiner,0,1
53773,Enrique Pujals,23,20
53779,José Carlos Martin-Rivas,0,1
53781,Bernardo Antônio San Martin,2,2
53782,Fernando José Sánchez-Salas,0,1
53784,Genesio Reis,0,1
53783,Raul Mario Ures,2,2
53780,Carlos Arnoldo Morales,12,10
53785,Pedro Miguel Duarte,1,1
53786,Aubin Arroyo,0,1
53788,Federico Rodriguez-Hertz,2,2
53791,François Antonie Haab,0,1
53789,Ali Tahzibi,10,9
54148,Maria João Costa,0,1
54149,Isabel Rios,1,1
54147,José Alves,13,9
54150,Vitor Araújo,4,3
54151,Augusto Armando Castro Jr.,2,2
54153,Vanderlei Horita,3,3
54154,Alexandre Baraviera,1,1
54156,Nivaldo Muniz,0,1
54155,Jairo Bochi,2,2
54157,Flávio Abdenur,0,1
54268,Roberto Markarian,3,3
53790,Marcelo Viana,106,41
55528,Paulo Brumatti,3,3
57039,Carlos Bahiano,0,1
56267,Daniel Smania,6,6
57483,Amilcar Pacheco,2,2
57872,Caitano Cintra,0,1
58055,Lucas Chaves,0,1
57479,Geovan Tavares dos Santos,23,10
58242,Tomas Barros,0,1
58708,Ana Peron,0,1
58705,Marcelo Hernandes,5,5
59022,"Wilson Ferreira, Jr.",1,1
58893,Jin Yun Yuan,4,5
58291,Stefano Luzzatto,13,10
59120,Luiz Henrique de Figueiredo,4,4
59154,Lúcio Santos,2,2
59203,Rodrigo Portugal,0,1
59166,Ricardo Biloti,0,1
60027,Miguel Canales,0,1
59702,Antônio Rosa,0,1
60838,Valmecir Bayer,0,1
60840,José Gilvan de Oliveira,0,1
62393,José Rogério,0,1
62392,Angel Carocca Becerra,3,3
62621,Ada Maria Doering,0,1
62496,Cláudio Possani,0,1
62034,Arnaldo Garcia,19,8
62988,Luiz Gonzaga Xavier de Barros,0,1
63860,Suzana de Moraes,0,1
63861,Maria de Fátima de Almeida,0,1
63862,Luiz Duczmal,0,1
63863,Lício Bezerra,1,1
63864,Humberto Bortolossi,0,1
63866,Ricardo Leite,0,1
63870,Tania Valdivia,0,1
64061,Maria Moraes Melo,0,1
64060,Pedro Malagutti,0,1
63865,Hamilton Bueno,5,5
64062,Paulo Santiago,0,1
64063,Joaquim Tavares,1,1
64064,Eduardo Perdigão de Lemos,0,1
64065,Luis Carvalho dos Santos,0,1
64066,Evandro da Silva,0,1
65158,Fernando Antoneli,0,1
65226,Gerson Petronilho,2,2
66428,Andréia Ribeiro,0,1
66547,Juan Duran,0,1
